"","Date","Plot","Species","Circumference_cm","Circumference_cm2","Circumference_cm3","Circumference_cm4","Tree_Height_1","Tree_Height_2","Tree_Height_3","CrBH_1","CrBH_2","CrBH_3","ForTyp"
"1","6/13/2023",1,"PIPO","94","",NA,NA,11.8,11.8,"12","2.2","2","1.8","ponderosa pine"
"2","6/13/2023",1,"PIPO","113","",NA,NA,17.2,17.2,"17.4","9.4","9.2","8.4","ponderosa pine"
"3","6/13/2023",1,"PIPO","80","",NA,NA,11.6,12,"11.8","2","2.2","2.2","ponderosa pine"
"4","6/13/2023",1,"PIPO","18","",NA,NA,3.2,3.2,"3","0.3","","","ponderosa pine"
"5","6/13/2023",1,"PIPO","70","",NA,NA,10.2,10.2,"10.6","2.8","3","2.6","ponderosa pine"
"6","6/13/2023",1,"PIPO","178","",NA,NA,2.8,3,"3.2","","","","ponderosa pine"
"7","6/13/2023",1,"PIPO","110","",NA,NA,11.6,11.6,"11","4.4","4.6","4.8","ponderosa pine"
"8","6/13/2023",1,"PIPO","65","",NA,NA,10.6,10.6,"11","4","4","4","ponderosa pine"
"9","6/13/2023",1,"PIPO","99","",NA,NA,12.4,12.6,"12.4","3.8","3.6","3.4","ponderosa pine"
"10","6/13/2023",1,"PIPO","82","",NA,NA,7.6,8,"8","3.4","3.6","3.4","ponderosa pine"
"11","6/13/2023",1,"PIPO","63","",NA,NA,8.2,8.2,"8.2","4.4","4.4","4.2","ponderosa pine"
"12","6/13/2023",1,"PIPO","94","",NA,NA,10.4,10.2,"10.2","1.8","1.6","1.8","ponderosa pine"
"13","6/13/2023",1,"PIPO","28","",NA,NA,4.2,4.6,"4.4","0.7","","","ponderosa pine"
"14","6/13/2023",1,"PIPO","19","",NA,NA,2.8,2.8,"2.6","1.05","","","ponderosa pine"
"15","6/13/2023",1,"PSME","66","",NA,NA,11.2,11.2,"11.4","0.6","","","ponderosa pine"
"16","6/13/2023",1,"PIPO","30","",NA,NA,3.6,3.4,"3.4","1.6","","","ponderosa pine"
"17","6/13/2023",1,"PIPO","90","",NA,NA,10,10.4,"10","3.4","3.4","3.6","ponderosa pine"
"18","6/13/2023",1,"PIPO","29","",NA,NA,4,4,"4","0.45","","","ponderosa pine"
"19","6/13/2023",1,"PIPO","34","",NA,NA,5.8,5.4,"3.2","2.15","","","ponderosa pine"
"20","6/13/2023",1,"PIPO","44","",NA,NA,7.2,7.6,"7","3.2","3","2.8","ponderosa pine"
"21","6/13/2023",1,"PIPO","68","",NA,NA,9.2,9.4,"9.4","3.4","3.2","3.2","ponderosa pine"
"22","6/13/2023",1,"PIPO","33","",NA,NA,6.6,6.2,"6.4","2.34","","","ponderosa pine"
"23","6/13/2023",1,"PSME","33","",NA,NA,6.8,6.8,"6.8","2.04","","","ponderosa pine"
"24","6/13/2023",1,"PSME","34","",NA,NA,5.4,5.4,"5.4","0.3","","","ponderosa pine"
"25","6/14/2023",2,"PSME","97","",NA,NA,21,20.8,"21.4","9.8","10","10","mixed conifer"
"26","6/14/2023",2,"PSME","150","",NA,NA,24.4,23.8,"23.8","15.4","15","15.2","mixed conifer"
"27","6/14/2023",2,"PSME","24","",NA,NA,2.6,2.6,"2.6","0.05","","","mixed conifer"
"28","6/14/2023",2,"PSME","117","",NA,NA,21,20.6,"22.2","8.8","9.4","9.2","mixed conifer"
"29","6/14/2023",2,"PSME","25","",NA,NA,4,3.6,"4","1.58","","","mixed conifer"
"30","6/14/2023",2,"PSME","74","",NA,NA,11.2,11,"11.2","2.6","2.4","2.2","mixed conifer"
"31","6/14/2023",2,"PSME","43","",NA,NA,6.2,6.6,"6.4","1.55","","","mixed conifer"
"32","6/14/2023",2,"PSME","255","",NA,NA,34.8,34.2,"34.2","","","","mixed conifer"
"33","6/14/2023",2,"PSME","44","",NA,NA,9.4,8.8,"9","","","","mixed conifer"
"34","6/14/2023",2,"PSME","38","",NA,NA,4.6,4.6,"4.4","4.2","","","mixed conifer"
"35","6/14/2023",2,"PSME","204","",NA,NA,28.2,28.4,"28.2","","","","mixed conifer"
"36","6/14/2023",2,"PSME","89","",NA,NA,16,16.2,"16.2","","","","mixed conifer"
"37","6/14/2023",2,"PSME","83","",NA,NA,10.4,10,"10.2","1.07","","","mixed conifer"
"38","6/14/2023",2,"PSME","129","",NA,NA,22.6,20,"19","10.8","10.6","10.6","mixed conifer"
"39","6/14/2023",2,"PSME","210","",NA,NA,3.6,3.8,"3.8","","","","mixed conifer"
"40","6/14/2023",2,"PSME","183","",NA,NA,27.6,26.8,"26.2","1.8","","","mixed conifer"
"41","6/14/2023",2,"PSME","42","",NA,NA,6.8,7.2,"6.6","3.6","3.6","3.4","mixed conifer"
"42","6/14/2023",2,"PSME","26","",NA,NA,3.8,3.4,"3.6","0.3","","","mixed conifer"
"43","6/14/2023",2,"PSME","33","",NA,NA,4.8,4.8,"4.8","1.55","","","mixed conifer"
"44","6/14/2023",2,"PSME","170","",NA,NA,4.2,4.2,"4.4","","","","mixed conifer"
"45","6/14/2023",2,"PSME","75","",NA,NA,14,14,"14","5.8","6","5.6","mixed conifer"
"46","6/14/2023",2,"PSME","99","",NA,NA,20,20.2,"20.2","10.4","10.6","10.8","mixed conifer"
"47","6/14/2023",2,"PSME","56","",NA,NA,13.8,14,"14.2","6.4","6.4","5.8","mixed conifer"
"48","6/14/2023",2,"PSME","44","",NA,NA,6.8,7,"7.2","1.98","","","mixed conifer"
"49","6/14/2023",2,"PSME","50","",NA,NA,9.8,9.8,"9.8","","","","mixed conifer"
"50","6/14/2023",3,"PSME","33","",NA,NA,6,6,"6","","","","mixed conifer"
"51","6/14/2023",3,"PSME","20","",NA,NA,3.6,3.2,"3.2","0.17","","","mixed conifer"
"52","6/14/2023",3,"PSME","44","",NA,NA,6.6,6.6,"6.6","0.34","","","mixed conifer"
