MgmtID,StandID,Year,Canopy_Ht,RunTitle,CaseID
A001,1,2023,6,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2024,6,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2025,7,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2026,7,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2027,7,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2028,7,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2029,7,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2030,8,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2031,8,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,1,2032,8,Run 1,2c06a787-c57e-40af-871f-61daf26808bf
A001,10,2023,4,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2024,4,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2025,5,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2026,5,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2027,5,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2028,5,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2029,6,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2030,6,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2031,6,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,10,2032,6,Run 1,574eb82f-1f6c-4942-b101-fc5913d00c06
A001,100,2023,18,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2024,18,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2025,18,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2026,18,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2027,18,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2028,18,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2029,19,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2030,19,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2031,19,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,100,2032,19,Run 1,5b0b0e77-3f12-4c85-bcb5-9abd4774dc31
A001,101,2023,18,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2024,18,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2025,18,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2026,19,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2027,19,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2028,19,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2029,19,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2030,20,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2031,20,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,101,2032,20,Run 1,44411e4a-eff3-4e68-827b-7532c218945f
A001,102,2023,19,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2024,19,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2025,19,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2026,20,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2027,20,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2028,20,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2029,20,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2030,20,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2031,20,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,102,2032,20,Run 1,650dd303-31c0-47fe-b678-1b560b179c94
A001,103,2023,20,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2024,21,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2025,21,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2026,22,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2027,22,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2028,22,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2029,22,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2030,22,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2031,23,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,103,2032,23,Run 1,92e67098-f077-4e88-92a9-53532168127c
A001,104,2023,19,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2024,19,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2025,19,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2026,19,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2027,19,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2028,20,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2029,20,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2030,20,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2031,20,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,104,2032,20,Run 1,a5ea0810-2d3f-485e-9a04-57ea0a9a347e
A001,105,2023,17,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2024,17,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2025,17,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2026,18,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2027,18,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2028,18,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2029,18,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2030,18,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2031,19,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,105,2032,19,Run 1,32e0c198-6b2d-48ee-8e00-5458fd7e655e
A001,106,2023,17,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2024,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2025,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2026,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2027,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2028,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2029,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2030,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2031,18,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,106,2032,19,Run 1,1a56d2c4-0a08-4a06-a96b-569fdd6d28ee
A001,107,2023,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2024,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2025,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2026,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2027,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2028,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2029,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2030,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2031,37,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,107,2032,38,Run 1,649fd5e6-d9b2-4aec-b506-45113aa0f057
A001,108,2023,20,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2024,20,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2025,20,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2026,20,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2027,20,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2028,21,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2029,21,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2030,21,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2031,21,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,108,2032,21,Run 1,765fd771-4517-4e16-b4e0-8b1388dc7c03
A001,109,2023,19,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2024,19,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2025,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2026,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2027,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2028,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2029,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2030,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2031,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,109,2032,20,Run 1,9d2e5eb7-11b2-49c0-89f1-741eb92d39d0
A001,11,2023,14,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2024,14,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2025,14,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2026,14,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2027,14,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2028,14,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2029,14,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2030,15,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2031,15,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,11,2032,15,Run 1,765c4054-7cb2-441f-bf1d-7b7fb3795220
A001,110,2023,24,Run 1,343be9bc-e733-4e73-a086-7af198b75336
A001,110,2024,25,Run 1,343be9bc-e733-4e73-a086-7af198b75336
A001,110,2025,25,Run 1,343be9bc-e733-4e73-a086-7af198b75336
A001,110,2026,25,Run 1,343be9bc-e733-4e73-a086-7af198b75336
A001,110,2027,26,Run 1,343be9bc-e733-4e73-a086-7af198b75336
A001,110,2028,26,Run 1,343be9bc-e733-4e73-a086-7af198b75336
A001,110,2029,26,Run 1,343be9bc-e733-4e73-a086-7af198b75336
A001,110,2030,27,Run 1,343be9bc-e733-4e73-a086-7af198b75336
