"","treeID","tree_height_m","tree_x","tree_y","crown_area_m2","tree_cbh_m","is_training_cbh","Date","Plot","Start_Time","End_Time","X","Y","U","stdeast","stdnorth","stdu","RMSE","RMSN","RMSU","Method","notes","BUFF_DIST","ORIG_FID","Shape_Leng","Shape_Area"
"1","3524_397379.5_4058862.5",15.3100004196167,397379.5,4058862.5,83,2.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"2","3623_397385.5_4058858.5",17.5400009155273,397385.5,4058858.5,100,4.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"3","3624_397390.5_4058858.5",13.3500003814697,397390.5,4058858.5,25,4.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"4","3762_397370.5_4058852.5",12.6099996566772,397370.5,4058852.5,57,3.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"5","3874_397376.5_4058847.5",17.5,397376.5,4058847.5,105,3.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"6","3993_397391.5_4058842.5",19.4699993133545,397391.5,4058842.5,69,2.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"7","4016_397374.5_4058841.5",13.6899995803833,397374.5,4058841.5,30,4.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"8","4042_397369.5_4058840.5",13.8299999237061,397369.5,4058840.5,36,4.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"9","4063_397372.5_4058839.5",13.8199996948242,397372.5,4058839.5,11,4.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"10","4064_397382.5_4058839.5",20.0699996948242,397382.5,4058839.5,73,2.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"11","4093_397387.5_4058838.5",20.7199993133545,397387.5,4058838.5,32,2.5,TRUE,720,51,"10:58","11:29",36.669726384,-106.14837741,2817.3704,0.2889,0.1379,0.6628,0.2889,0.1379,0.6627,"static",NA,11.3,51,0.000718183857412,0.0000000402323485685
"12","5952_397359.5_4058762.5",20.6599998474121,397359.5,4058762.5,57,13.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"13","5981_397352.5_4058761.5",14.3199996948242,397352.5,4058761.5,46,5.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"14","6054_397364.5_4058758.5",17.3299999237061,397364.5,4058758.5,47,4.84579663316305,FALSE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"15","6078_397355.5_4058757.5",19.3700008392334,397355.5,4058757.5,46,6.09088294999913,FALSE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"16","6189_397366.5_4058752.5",15.7299995422363,397366.5,4058752.5,40,2.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"17","6190_397371.5_4058752.5",16.1399993896484,397371.5,4058752.5,44,7.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"18","6236_397349.5_4058750.5",18.6599998474121,397349.5,4058750.5,60,5.32056166442835,FALSE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"19","6259_397371.5_4058749.5",16.4500007629395,397371.5,4058749.5,37,8.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"20","6296_397355.5_4058747.5",16,397355.5,4058747.5,36,2.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"21","6320_397363.5_4058746.5",14.2600002288818,397363.5,4058746.5,54,2.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"22","6346_397374.5_4058745.5",16.3400001525879,397374.5,4058745.5,44,6.14836466231254,FALSE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"23","6409_397355.5_4058742.5",12.5600004196167,397355.5,4058742.5,25,10.5,TRUE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"24","6476_397355.5_4058739.5",15.4700002670288,397355.5,4058739.5,33,5.46808719802885,FALSE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"25","6477_397360.5_4058739.5",18.0499992370605,397360.5,4058739.5,49,4.87087156619826,FALSE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"26","6478_397371.5_4058739.5",16.5900001525879,397371.5,4058739.5,45,5.66287140674977,FALSE,720,50,"9:47","10:18",36.668837407,-106.148571983,2820.1099,0.0529,0.0404,0.2167,0.0528,0.0404,0.2166,"static",NA,11.3,50,0.000718179041966,0.0000000402318956205
"27","16518_397187.5_4058290.5",10.0200004577637,397187.5,4058290.5,33,4.51909684400959,FALSE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"28","16566_397190.5_4058288.5",9.48999977111816,397190.5,4058288.5,24,7.5,TRUE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"29","16649_397100.5_4058284.5",15.8299999237061,397100.5,4058284.5,43,9.5,TRUE,718,40,"1:22","1:53",36.664517324,-106.15137503,2859.7095,0.0537,0.0444,0.082,0.0537,0.0444,0.082,"static",NA,11.3,40,0.000718155215409,0.0000000402295760952
"30","16650_397106.5_4058284.5",15.8000001907349,397106.5,4058284.5,37,7.5,TRUE,718,40,"1:22","1:53",36.664517324,-106.15137503,2859.7095,0.0537,0.0444,0.082,0.0537,0.0444,0.082,"static",NA,11.3,40,0.000718155215409,0.0000000402295760952
"31","16652_397182.5_4058284.5",18.9699993133545,397182.5,4058284.5,63,7.5,TRUE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"32","16669_397194.5_4058283.5",15.0100002288818,397194.5,4058283.5,38,2.5,TRUE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"33","16715_397104.5_4058281.5",15,397104.5,4058281.5,26,11.5,TRUE,718,40,"1:22","1:53",36.664517324,-106.15137503,2859.7095,0.0537,0.0444,0.082,0.0537,0.0444,0.082,"static",NA,11.3,40,0.000718155215409,0.0000000402295760952
"34","16716_397112.5_4058281.5",11.6999998092651,397112.5,4058281.5,22,7.5,TRUE,718,40,"1:22","1:53",36.664517324,-106.15137503,2859.7095,0.0537,0.0444,0.082,0.0537,0.0444,0.082,"static",NA,11.3,40,0.000718155215409,0.0000000402295760952
"35","16718_397174.5_4058281.5",12.4499998092651,397174.5,4058281.5,34,2.5,TRUE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"36","16750_397179.5_4058280.5",15.2700004577637,397179.5,4058280.5,35,4.5,TRUE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"37","16799_397194.5_4058278.5",15.5,397194.5,4058278.5,31,2.5,TRUE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"38","16821_397176.5_4058277.5",16.7000007629395,397176.5,4058277.5,69,3.5,TRUE,718,41,"2:07","2:38",36.664548368,-106.150476629,2855.7527,0.1524,0.115,0.4402,0.1524,0.115,0.4402,"static",NA,11.3,41,0.00071815525543,0.0000000402295822315
"39","16872_397112.5_4058275.5",17.8299999237061,397112.5,4058275.5,60,7.13251580613425,FALSE,718,40,"1:22","1:53",36.664517324,-106.15137503,2859.7095,0.0537,0.0444,0.082,0.0537,0.0444,0.082,"static",NA,11.3,40,0.000718155215409,0.0000000402295760952
"40","16957_397098.5_4058271.5",14.9700002670288,397098.5,4058271.5,28,8.5,TRUE,718,40,"1:22","1:53",36.664517324,-106.15137503,2859.7095,0.0537,0.0444,0.082,0.0537,0.0444,0.082,"static",NA,11.3,40,0.000718155215409,0.0000000402295760952
"41","16978_397090.5_4058270.5",19.7399997711182,397090.5,4058270.5,88,2.5,TRUE,718,40,"1:22","1:53",36.664517324,-106.15137503,2859.7095,0.0537,0.0444,0.082,0.0537,0.0444,0.082,"static",NA,11.3,40,0.000718155215409,0.0000000402295760952
